Date,Open,High,Low,Close,Volume
2025-01-28,64.52831174484966,65.14863758731663,63.682667864422456,64.18530006570782,974231
2025-01-29,65.45679771599517,65.53867878461783,65.0822958103605,65.50742098190344,3025496
2025-01-30,66.78597479801783,67.46771402619478,65.69812013581792,66.13134891812742,1840544
2025-01-31,66.99405693911618,68.59360912970344,64.93488628398778,66.33970943963125,1181455
2025-02-03,68.68245992918666,68.95139037136207,68.41588689510887,68.4959969246837,3548826
2025-02-04,67.30856818560062,68.56897528251093,66.11498866739109,67.59335478955246,3367640
2025-02-05,67.39454178085263,68.36308023565729,66.99156818750535,68.16759224499677,2126689
2025-02-06,68.7737655248628,70.22865892244694,66.76548019583747,68.77861918022411,4488733
2025-02-07,68.89684890745102,69.9961585026996,68.48974152091755,69.23460007349337,1603646
2025-02-10,69.99568487431813,70.31046564953938,69.6203113018924,70.06459983226864,2649805
2025-02-11,69.8970338004579,71.58711385591249,68.70217544121698,70.56061208866423,2590522
2025-02-12,68.35807296011171,68.53313968473992,67.43068338071018,68.34397783705033,4529965
2025-02-13,68.75659504606656,70.74076582385821,67.99799826005356,69.20071918429348,2450092
2025-02-14,70.7601644973913,71.16966794922102,70.27712453751026,70.6155007530711,3890683
2025-02-17,70.79018959049351,71.31355590166926,69.5974343118731,71.17656124245408,2484704
2025-02-18,72.8458353360726,73.38027456191244,71.85654368754857,73.22498481607009,2164583
2025-02-19,71.50215962072156,73.0410960838341,70.78002403918944,72.7058063778348,524718
2025-02-20,71.6463918786986,72.97366117609836,71.36535012572341,72.90239432534595,3473456
2025-02-21,69.88183761354885,71.50186279562693,68.79530436500607,70.41837645726214,663600
2025-02-24,69.98507337791251,71.34254398361519,68.94619371413363,70.06285361905267,824375
2025-02-25,68.90436931363459,69.48146002925735,67.35341533409799,68.37466483706002,927652
2025-02-26,71.20310099823816,71.7752971767375,69.41160000333504,70.82129823327803,2497261
2025-02-27,72.28783763813034,73.2140342644526,71.67179645338503,72.06049569331961,642453
2025-02-28,72.01899199591382,72.58092141399578,71.56707195902206,72.09311649478018,3865688
2025-03-03,73.72010121550763,75.49364736124811,73.5075758797279,75.03661137981159,714032
2025-03-04,73.36900639849519,74.27346028384045,71.2961649932612,72.43480376138048,4768369
2025-03-05,74.93347206623034,75.40882037990193,74.29769698508179,74.72779552147162,1382875
2025-03-06,72.62687562244949,74.42334675263821,72.54124585541285,73.3503622234362,2589099
2025-03-07,72.2970051910921,73.78030148308058,71.99504157259808,72.8871020073944,1296624
2025-03-10,69.64191257549149,71.02968762922221,68.6844455696769,70.22247512889057,767052
2025-03-11,71.92233777738603,72.03270095285265,70.45088185413032,70.67435399951626,3540211
2025-03-12,70.93754730338472,72.54458447182482,69.92316412926657,70.82516694761851,1093789
2025-03-13,71.42590816566357,71.58879562864281,70.14968383226343,70.52931668559265,2814962
2025-03-14,69.48631217852797,69.94266308515165,68.68401676088547,69.91321405065467,952587
2025-03-17,68.70160275028815,69.93213028913831,67.9336281271999,69.25791190537214,526598
2025-03-18,70.93958457657781,71.11011815864714,70.46189171011821,70.66283691762682,3626588
2025-03-19,69.9036726644262,70.94423765186407,69.44149477690182,69.61015282198758,721448
2025-03-20,68.96470402136917,69.9823011521968,66.90760018652475,68.03043218601304,4401291
2025-03-21,68.11677049748396,68.6498200971622,68.02519689475857,68.64981959501529,4068591
2025-03-24,66.45594892668177,66.62352981366979,66.24215854463414,66.50410937153724,4219713
2025-03-25,64.4248802249886,64.95431006542839,63.446317389398175,64.04154130740231,4279398
2025-03-26,64.72845267406497,65.09395968943842,63.44417619282954,64.85451958702372,1508744
2025-03-27,63.43725614438941,64.08023227680148,63.00704202891703,64.04373869187651,4908180
2025-03-28,63.20985870774648,64.4975142143123,62.59230705153632,63.82296098227786,2718936
